world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag,rank_date,clean_country,rank
2010,South Africa,Colombia,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Colombia,35.0
2014,Brazil,Colombia,Quarter-finals,3.0,5.0,4.0,12,4,2014-06-12,0.5652173913043478,2014-06-05,Colombia,8.0
2018,Russia,Colombia,Round of 16,2.0,4.0,2.0,6,3,2018-06-14,0.5217391304347826,2018-06-07,Colombia,16.0
2022,Qatar,Colombia,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Colombia,17.0
1994,USA,Costa Rica,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Costa Rica,51.0
1998,France,Costa Rica,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Costa Rica,58.0
2002,Korea/Japan,Costa Rica,Group stage,1.0,3.0,1.0,5,6,2002-05-31,0.0434782608695652,2002-05-15,Costa Rica,29.0
2006,Germany,Costa Rica,Group stage,1.0,3.0,0.0,3,9,2006-06-09,0.0,2006-05-17,Costa Rica,26.0
2010,South Africa,Costa Rica,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Costa Rica,40.0
2014,Brazil,Costa Rica,Quarter-finals,3.0,5.0,2.0,5,2,2014-06-12,0.0869565217391304,2014-06-05,Costa Rica,28.0
2018,Russia,Costa Rica,Group stage,1.0,3.0,0.0,2,5,2018-06-14,0.217391304347826,2018-06-07,Costa Rica,23.0
2022,Qatar,Costa Rica,Group stage,1.0,3.0,1.0,3,11,2022-11-20,0.0384615384615384,2022-10-06,Costa Rica,31.0
1994,USA,Croatia,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Croatia,91.0
1998,France,Croatia,Third place,5.0,7.0,5.0,11,5,1998-06-10,0.4545454545454545,1998-05-20,Croatia,19.0
2002,Korea/Japan,Croatia,Group stage,1.0,3.0,1.0,2,3,2002-05-31,0.4782608695652174,2002-05-15,Croatia,21.0
2006,Germany,Croatia,Group stage,1.0,3.0,0.0,2,3,2006-06-09,0.2608695652173913,2006-05-17,Croatia,23.0
2010,South Africa,Croatia,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Croatia,10.0
2014,Brazil,Croatia,Group stage,1.0,3.0,1.0,6,6,2014-06-12,0.5652173913043478,2014-06-05,Croatia,18.0
2018,Russia,Croatia,Runners-up,6.0,7.0,6.0,14,9,2018-06-14,0.6521739130434783,2018-06-07,Croatia,20.0
2022,Qatar,Croatia,Third place,5.0,7.0,4.0,8,7,2022-11-20,0.5384615384615384,2022-10-06,Croatia,12.0
1994,USA,Czech Republic,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Czech Republic,45.0
1998,France,Czech Republic,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Czech Republic,3.0
2002,Korea/Japan,Czech Republic,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Czech Republic,16.0
2006,Germany,Czech Republic,Group stage,1.0,3.0,1.0,3,4,2006-06-09,0.4782608695652174,2006-05-17,Czech Republic,2.0
2010,South Africa,Czech Republic,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Czech Republic,33.0
2014,Brazil,Czech Republic,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Czech Republic,34.0
2018,Russia,Czech Republic,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Czech Republic,46.0
2022,Qatar,Czech Republic,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Czech Republic,35.0
