world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag
2010,South Africa,New Zealand,Group stage,1.0,3.0,0.0,2,2,2010-06-11,0.043478260869565216
1994,USA,Nigeria,Round of 16,2.0,4.0,2.0,7,4,1994-06-17,0.2727272727272727
1998,France,Nigeria,Round of 16,2.0,4.0,2.0,6,9,1998-06-10,0.4090909090909091
2002,Korea/Japan,Nigeria,Group stage,1.0,3.0,0.0,1,3,2002-05-31,0.2608695652173913
2010,South Africa,Nigeria,Group stage,1.0,3.0,0.0,3,5,2010-06-11,0.5652173913043478
2014,Brazil,Nigeria,Round of 16,2.0,4.0,1.0,3,5,2014-06-12,0.34782608695652173
2018,Russia,Nigeria,Group stage,1.0,3.0,1.0,3,4,2018-06-14,0.43478260869565216
2010,South Africa,North Korea,Group stage,1.0,3.0,0.0,1,12,2010-06-11,0.0
1994,USA,Norway,Group stage,1.0,3.0,1.0,1,1,1994-06-17,0.4090909090909091
1998,France,Norway,Round of 16,2.0,4.0,1.0,5,5,1998-06-10,0.6363636363636364
2018,Russia,Panama,Group stage,1.0,3.0,0.0,2,11,2018-06-14,0.0
1998,France,Paraguay,Round of 16,2.0,4.0,1.0,3,2,1998-06-10,0.09090909090909091
2002,Korea/Japan,Paraguay,Round of 16,2.0,4.0,1.0,6,7,2002-05-31,0.08695652173913043
2006,Germany,Paraguay,Group stage,1.0,3.0,1.0,2,2,2006-06-09,0.2608695652173913
2010,South Africa,Paraguay,Quarter-finals,3.0,5.0,2.0,3,2,2010-06-11,0.30434782608695654
2018,Russia,Peru,Group stage,1.0,3.0,1.0,2,2,2018-06-14,0.043478260869565216
2002,Korea/Japan,Poland,Group stage,1.0,3.0,1.0,3,7,2002-05-31,0.34782608695652173
2006,Germany,Poland,Group stage,1.0,3.0,1.0,2,4,2006-06-09,0.17391304347826086
2018,Russia,Poland,Group stage,1.0,3.0,1.0,2,5,2018-06-14,0.6086956521739131
2022,Qatar,Poland,Round of 16,2.0,4.0,1.0,3,5,2022-11-20,0.5769230769230769
2002,Korea/Japan,Portugal,Group stage,1.0,3.0,1.0,6,4,2002-05-31,0.34782608695652173
2006,Germany,Portugal,Fourth place,4.0,7.0,5.0,7,5,2006-06-09,0.5652173913043478
2010,South Africa,Portugal,Round of 16,2.0,4.0,1.0,7,1,2010-06-11,0.4782608695652174
