world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against
1986,Mexico,Czechoslovakia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Czechoslovakia,Quarter-finals,3.0,5.0,3.0,10.0,5.0
1994,USA,Czechoslovakia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Czechoslovakia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Czechoslovakia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Czechoslovakia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Czechoslovakia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Czechoslovakia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Czechoslovakia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Denmark,Round of 16,2.0,4.0,3.0,10.0,6.0
1990,Italy,Denmark,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Denmark,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Denmark,Quarter-finals,3.0,5.0,2.0,9.0,7.0
2002,Korea/Japan,Denmark,Round of 16,2.0,4.0,2.0,5.0,5.0
2006,Germany,Denmark,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Denmark,Group stage,1.0,3.0,1.0,3.0,6.0
2014,Brazil,Denmark,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Denmark,Round of 16,2.0,4.0,1.0,3.0,2.0
1986,Mexico,Ecuador,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Ecuador,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Ecuador,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Ecuador,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Ecuador,Group stage,1.0,3.0,1.0,2.0,4.0
2006,Germany,Ecuador,Round of 16,2.0,4.0,2.0,5.0,4.0
2010,South Africa,Ecuador,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Ecuador,Group stage,1.0,3.0,1.0,3.0,3.0
2018,Russia,Ecuador,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Egypt,Did not qualify,0.0,0.0,0.0,0.0,0.0
