world_cup_year,team,host_country,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,Big5_flag,start_date,rank_date,clean_country,rank,gdp_per_capita_tminus0,gdp_per_capita_tminus1,gdp_per_capita_tminus2,gdp_per_capita_tminus3,norm_gdp_per_capita_tminus0,norm_gdp_per_capita_tminus1,norm_gdp_per_capita_tminus2,norm_gdp_per_capita_tminus3,hdi_tminus0,hdi_tminus1,hdi_tminus2,hdi_tminus3,life_expectancy_tminus0,life_expectancy_tminus1,life_expectancy_tminus2,life_expectancy_tminus3,mean_school_years_tminus0,mean_school_years_tminus1,mean_school_years_tminus2,mean_school_years_tminus3
1994,Austria,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Austria,36.0,25546.2460525087,23987.2037240657,24782.7118767063,22323.1312492943,0.8861458673472481,0.8013269822757151,0.8446061885815992,0.7107939868506986,0.851,0.845,0.841,0.835,76.541,76.225,75.992,75.792,10.56214292,10.4714286,10.38071428,10.28999996
1998,Austria,France,Group stage,1.0,3.0,0.0,3.0,4.0,0.4545454545454545,1998-06-10,1998-05-20,Austria,31.0,27212.4642905708,26571.7523626508,29645.9451251491,30207.0674314652,0.9767956019054004,0.9419380035023605,1.1091878580143222,1.1397154245480865,0.87,0.865,0.861,0.856,77.782,77.428,77.026,76.775,10.92500019,10.83428587,10.74357155,10.65285724
2002,Austria,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Austria,61.0,26334.862215032,24430.495982841,24487.2974685956,27078.7081612201,0.9290501185239426,0.8254440665037698,0.828534321722769,0.9695186694218928,0.887,0.883,0.879,0.874,78.846,78.718,78.235,77.955,11.28785746,11.19714315,11.10642883,11.01571451
2006,Austria,Germany,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2006-06-09,2006-05-17,Austria,79.0,40382.2078298575,38157.37022862,36614.2506533707,32110.1159661425,1.6932886331086672,1.5722475033334096,1.4882948873480453,1.243249787922009,0.902,0.898,0.895,0.889,79.965,79.52,79.362,78.849,11.54500008,11.56000042,11.4692861,11.37857178
2010,Austria,South Africa,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2010-06-11,2010-05-26,Austria,68.0,46611.1393420232,47857.4446635266,51581.3982361071,46622.9622913635,2.03217040457184,2.0999749958264013,2.302574748457799,2.0328136259667997,0.912,0.907,0.907,0.905,80.463,80.206,80.363,80.166,11.71000004,11.67000008,11.47000027,11.52999973
2014,Austria,Brazil,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2014-06-12,2014-06-05,Austria,42.0,51314.9722616322,50305.3545774973,48250.4059142637,51116.8953522042,2.288079982217792,2.23315225847706,2.121353847802231,2.2773037112278463,0.919,0.915,0.916,0.915,81.39,81.078,80.841,80.828,12.01000023,11.78999996,11.75,11.71000004
2018,Austria,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Austria,26.0,51194.0749841299,47163.7425775142,45061.4993920192,43915.228020857,2.281502628865129,2.062234495498786,1.9478630509973465,1.885500754658354,0.925,0.922,0.921,0.919,81.686,81.639,81.592,81.159,12.21000004,12.15999985,12.10999966,12.07999992
2022,Austria,,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2022-11-20,2022-10-06,Austria,34.0,52176.6649141178,53648.7190742245,48716.4098900349,49885.9947355204,2.334959921732425,2.415046260856942,2.146706551152684,2.210337204907745,0.927,0.93,0.925,0.928,81.296,81.82,81.804,81.907,12.36146506,12.36146506,12.31062811,12.26000023
1994,Belgium,USA,Round of 16,2.0,4.0,2.0,4.0,4.0,0.0909090909090909,1994-06-17,1994-06-14,Belgium,27.0,24208.5547931447,22283.9360213551,23372.619171015,21041.6606519648,0.8133694717874801,0.7086615909091158,0.7678908300809206,0.6410762470982506,0.868,0.86,0.845,0.829,76.716,76.363,76.358,76.199,9.966910011,9.826356324,9.685802636,9.545248949
1998,Belgium,France,Group stage,1.0,3.0,0.0,3.0,3.0,0.1818181818181818,1998-06-10,1998-05-20,Belgium,36.0,25338.4432934904,24820.9380503896,27489.5551770488,28413.8264387368,0.874840466580918,0.8466858636316065,0.9918705871227796,1.0421550832456838,0.886,0.884,0.881,0.875,77.476,77.403,77.185,76.84,10.36790141,10.28108884,10.19427627,10.1074637
