iso3,country,hdicode,region,hdi_rank_2023,year,hdi,norm_hdi
FRA,France,Very High,Developed,26.0,1995,0.837,0.9825369021065357
DEU,Germany,Very High,Developed,5.0,1995,0.87,1.1817162698850365
GHA,Ghana,Medium,SSA,143.0,1995,0.459,-1.2989722197199272
GRC,Greece,Very High,Developed,34.0,1995,0.792,0.7109286733176714
HND,Honduras,Medium,LAC,139.0,1995,0.537,-0.8281846231525616
ISL,Iceland,Very High,Developed,1.0,1995,0.863,1.1394661009623241
IRN,Iran,High,SA,75.0,1995,0.672,-0.013359936785967634
IRL,Republic of Ireland,Very High,Developed,11.0,1995,0.809,0.813536226415687
ITA,Italy,Very High,Developed,29.0,1995,0.823,0.898036564261111
JAM,Jamaica,High,LAC,117.0,1995,0.665,-0.05561010570867995
JPN,Japan,Very High,Developed,23.0,1995,0.874,1.205859223555158
PRK,North Korea,Other Countries or Territories,EAP,,1995,0.59384,-0.4851132515001379
KOR,South Korea,Very High,Developed,20.0,1995,0.789,0.6928214580650804
MEX,Mexico,High,LAC,81.0,1995,0.68,0.034925970554275015
MAR,Morocco,High,AS,120.0,1995,0.484,-1.1480787592816692
NLD,Netherlands,Very High,Developed,8.0,1995,0.886,1.2782880845655218
NZL,New Zealand,Very High,Developed,17.0,1995,0.858,1.1092874088746725
NGA,Nigeria,Medium,SSA,164.0,1995,0.402,-1.6430093095191556
NOR,Norway,Very High,Developed,2.0,1995,0.887,1.2843238229830523
PAN,Panama,Very High,LAC,59.0,1995,0.69,0.09528335472957765
PRY,Paraguay,High,LAC,99.0,1995,0.637,-0.22461078139952922
PER,Peru,High,LAC,79.0,1995,0.654,-0.12200322830151358
POL,Poland,Very High,Developed,35.0,1995,0.754,0.4815706134515188
PRT,Portugal,Very High,Developed,40.0,1995,0.773,0.5962496433845951
QAT,Qatar,Very High,AS,43.0,1995,0.788,0.6867857196475501
ROU,Romania,Very High,Developed,55.0,1995,0.701,0.16167647732241128
RUS,Russia,Very High,Developed,64.0,1995,0.713,0.23410533833277525
