country,iso3,year,gdp_per_capita,norm_gdp_per_capita
Ukraine,UKR,2005,1875.33508300781,-0.401657703108532
Uruguay,URY,2005,5284.25677987129,-0.21619709543351057
United States,USA,2005,44123.3996470026,1.896826223448436
South Africa,ZAF,2005,5836.87663325127,-0.18613210041897804
Angola,AGO,2006,2617.05196022633,-0.3613049830978808
Argentina,ARG,2006,5869.38028970204,-0.18436375593556958
Australia,AUS,2006,36595.7071548423,1.4872860379782689
Austria,AUT,2006,40382.2078298575,1.6932886331086672
Belgium,BEL,2006,38705.1067959147,1.6020468257143756
Bulgaria,BGR,2006,4523.1465578805,-0.2576049002557682
Bosnia and Herzegovina,BIH,2006,3166.12865344833,-0.33143275186451504
Bolivia,BOL,2006,1202.71150446327,-0.43825143822664714
Brazil,BRA,2006,5934.14470924968,-0.180840281455039
Canada,CAN,2006,40504.0370977806,1.6999166909142809
Switzerland,CHE,2006,59011.0324592016,2.706780124922163
Chile,CHL,2006,9318.65655296121,0.0032923208853383864
China,CHN,2006,2129.25696999613,-0.3878432152292207
Ivory Coast,CIV,2006,1230.43056838584,-0.43674339700528597
Cameroon,CMR,2006,1191.45458990968,-0.43886386479413786
Colombia,COL,2006,3789.85361217027,-0.29749932066453133
Costa Rica,CRI,2006,5256.59640859159,-0.2177019435122358
Czech Republic,CZE,2006,15259.0788162004,0.32647789707508895
Germany,DEU,2006,36980.3349948954,1.508211515090463
Denmark,DNK,2006,52119.1787984282,2.331832419578744
Algeria,DZA,2006,3660.66104745322,-0.3045279747933616
Ecuador,ECU,2006,3243.67010359339,-0.3272141496956424
Egypt,EGY,2006,1298.97900203124,-0.43301405521056424
Spain,ESP,2006,28421.686527407,1.0425827072719251
France,FRA,2006,36431.5658906555,1.478356018075307
Ghana,GHA,2006,906.441027564887,-0.4543698790615594
Greece,GRC,2006,24416.0232970275,0.8246566875774274
Honduras,HND,2006,1425.84780051892,-0.4261118243719463
Croatia,HRV,2006,11502.753124287,0.12211695616860338
Republic of Ireland,IRL,2006,54329.1618599624,2.4520653958658647
Iran,IRN,2006,3618.9160136791,-0.30679909159205077
Iceland,ISL,2006,57492.9342498703,2.6241887833046675
Italy,ITA,2006,33537.1286994269,1.3208856717026263
Jamaica,JAM,2006,4417.00127135363,-0.2633796792303705
Japan,JPN,2006,35991.546002862,1.4544169654844648
South Korea,KOR,2006,21743.4774514254,0.6792582241804052
Morocco,MAR,2006,2438.12646484375,-0.3710393313912838
Mexico,MEX,2006,9512.63575346699,0.013845658157713204
Nigeria,NGA,2006,1599.53891556365,-0.4166622498118775
Netherlands,NLD,2006,45123.5432406426,1.9512385142351145
Norway,NOR,2006,74434.4996835671,3.545885818232301
New Zealand,NZL,2006,26654.5932018985,0.9464449161725231
Panama,PAN,2006,5528.76705469354,-0.20289464140734612
Peru,PER,2006,3129.55996496982,-0.33342225229608646
Poland,POL,2006,9068.85528307627,-0.010297986968749189
North Korea,PRK,2006,,
Portugal,PRT,2006,19839.4540499032,0.5756708236840336
Paraguay,PRY,2006,2439.43124694576,-0.37096834540127266
Qatar,QAT,2006,62582.4453138755,2.9010809793230234
Romania,ROU,2006,5757.53127301178,-0.19044884337606874
Russia,RUS,2006,6920.19970703125,-0.12719447338094242
Saudi Arabia,SAU,2006,17563.6145370639,0.4518549614979491
Senegal,SEN,2006,1017.20196747987,-0.44834398787074975
Serbia,SRB,2006,4492.7136699046,-0.25926058565989746
Slovakia,SVK,2006,13167.8954730379,0.21270815752969513
Slovenia,SVN,2006,19563.005059144,0.5606307604685831
Sweden,SWE,2006,46531.6001120572,2.0278431142333524
Togo,TGO,2006,552.50227125256,-0.47362573257260415
Trinidad and Tobago,TTO,2006,14152.6607422113,0.26628379859126483
Tunisia,TUN,2006,3322.56933570096,-0.32292167810697964
Turkey,TUR,2006,7953.07848024969,-0.07100124221579898
Ukraine,UKR,2006,2366.494140625,-0.374936450644861
Uruguay,URY,2006,6001.33294783172,-0.17718494036360105
United States,USA,2006,46301.9876485519,2.0153511678649063
South Africa,ZAF,2006,6077.38293388876,-0.17304748052086172
Angola,AGO,2007,3141.0459797605,-0.3327973616496384
Argentina,ARG,2007,7185.25155147027,-0.11277446596913401
Australia,AUS,2007,41051.6120652288,1.7297072215398483
