iso3,country,hdicode,region,hdi_rank_2023,year,mean_school_years,norm_mean_school_years
PER,Peru,High,LAC,79.0,1992,7.89134482,0.037697134424857816
POL,Poland,Very High,Developed,35.0,1992,10.04302659,0.6879532133251206
PRT,Portugal,Very High,Developed,40.0,1992,5.614285742,-0.6504490069464691
QAT,Qatar,Very High,AS,43.0,1992,6.679092629,-0.32865553321795615
ROU,Romania,Very High,Developed,55.0,1992,8.68999958,0.2790572276660766
RUS,Russia,Very High,Developed,64.0,1992,10.03046102,0.6841557938408506
SAU,Saudi Arabia,Very High,AS,37.0,1992,5.775978982,-0.6015839685876234
SEN,Senegal,Low,SSA,169.0,1992,1.946792405,-1.7587959149143975
SRB,Serbia,Very High,ECA,62.0,1992,6.571701834,-0.3611099222639173
SVK,Slovakia,Very High,Developed,44.0,1992,7.469999886,-0.08963679964817642
SVN,Slovenia,Very High,Developed,21.0,1992,7.842307898,0.022877769839611543
ZAF,South Africa,High,SSA,106.0,1992,7.413989307,-0.10656366122467884
ESP,Spain,Very High,Developed,28.0,1992,6.267692493,-0.4529840668441879
SWE,Sweden,Very High,Developed,5.0,1992,10.02000046,0.6809945258394485
CHE,Switzerland,Very High,Developed,2.0,1992,10.5136238,0.8301715937485431
TGO,Togo,Medium,SSA,161.0,1992,2.484463973,-1.5963071071276236
TTO,Trinidad and Tobago,Very High,LAC,72.0,1992,7.58888891,-0.05370755042164283
TUN,Tunisia,High,AS,105.0,1992,3.746814947,-1.2148141716973218
TUR,Turkey,Very High,ECA,51.0,1992,4.567179419,-0.9668932234095995
UKR,Ukraine,High,ECA,87.0,1992,9.644580179,0.5675394028438697
USA,United States,Very High,Developed,17.0,1992,13.07499981,1.6042406703535839
URY,Uruguay,Very High,LAC,48.0,1992,7.231168523,-0.16181361863139684
DZA,Algeria,High,AS,96.0,1993,4.466412527,-0.9973458140242825
AGO,Angola,Medium,SSA,148.0,1993,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1993,8.325999641,0.16905342675360457
AUS,Australia,Very High,Developed,7.0,1993,11.29150667,1.0652542495308075
AUT,Austria,Very High,Developed,22.0,1993,10.4714286,0.8174198543031638
BEL,Belgium,Very High,Developed,10.0,1993,9.826356324,0.6224736616796017
BOL,Bolivia,High,LAC,108.0,1993,6.321111149,-0.4368405058980533
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1993,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1993,4.122879818,-1.1011642482569268
BGR,Bulgaria,Very High,Developed,55.0,1993,7.666666561,-0.030202499130840846
CMR,Cameroon,Medium,SSA,155.0,1993,2.388672792,-1.6252559966050322
CAN,Canada,Very High,Developed,16.0,1993,11.26800003,1.058150347937348
CHL,Chile,Very High,LAC,45.0,1993,8.623151372,0.25885514470861914
CHN,China,High,EAP,78.0,1993,4.733999872,-0.9164786987523844
COL,Colombia,High,LAC,83.0,1993,6.5,-0.38277881125896485
CRI,Costa Rica,Very High,LAC,62.0,1993,7.08195062,-0.20690850666704716
HRV,Croatia,Very High,Developed,41.0,1993,7.474000168,-0.088427881245798
CZE,Czech Republic,Very High,Developed,29.0,1993,9.667333285,0.5744155802120322
CIV,Ivory Coast,Medium,SSA,157.0,1993,2.237588688,-1.6709148660628514
DNK,Denmark,Very High,Developed,4.0,1993,11.54000028,1.140351079704895
ECU,Ecuador,High,LAC,88.0,1993,6.921176434,-0.25549579928362265
EGY,Egypt,High,AS,100.0,1993,5.792176541,-0.5966889319005321
FRA,France,Very High,Developed,26.0,1993,8.126428672,0.10874142449861232
DEU,Germany,Very High,Developed,5.0,1993,10.99462252,0.9755333967735534
GHA,Ghana,Medium,SSA,143.0,1993,4.56652011,-0.9670924720583084
GRC,Greece,Very High,Developed,34.0,1993,8.198571478,0.13054357888988302
HND,Honduras,Medium,LAC,139.0,1993,4.102979732,-1.107178219315546
ISL,Iceland,Very High,Developed,1.0,1993,10.85784286,0.9341974489466073
IRN,Iran,High,SA,75.0,1993,6.58725261,-0.3564103487644325
IRL,Republic of Ireland,Very High,Developed,11.0,1993,9.550000381,0.5389566033573737
ITA,Italy,Very High,Developed,29.0,1993,7.829889332,0.019124776183526364
