iso3,country,hdicode,region,hdi_rank_2023,year,life_expectancy,norm_life_expectancy
MEX,Mexico,High,LAC,81.0,1993,69.961,0.13972321951039351
MAR,Morocco,High,AS,120.0,1993,63.868,-0.4992292716585376
NLD,Netherlands,Very High,Developed,8.0,1993,77.041,0.8821790930498706
NZL,New Zealand,Very High,Developed,17.0,1993,76.499,0.8253413693975545
NGA,Nigeria,Medium,SSA,164.0,1993,45.783,-2.39574261529716
NOR,Norway,Very High,Developed,2.0,1993,77.221,0.9010550898347733
PAN,Panama,Very High,LAC,59.0,1993,71.805,0.3330973199068345
PRY,Paraguay,High,LAC,99.0,1993,68.234,-0.04138148297586072
PER,Peru,High,LAC,79.0,1993,65.732,-0.30375783828599756
POL,Poland,Very High,Developed,35.0,1993,71.344,0.28475379480772317
PRT,Portugal,Very High,Developed,40.0,1993,74.761,0.6430831337744456
QAT,Qatar,Very High,AS,43.0,1993,74.071,0.5707251460989883
ROU,Romania,Very High,Developed,55.0,1993,69.512,0.09263809419694383
RUS,Russia,Very High,Developed,64.0,1993,65.039,-0.37643042590786985
SAU,Saudi Arabia,Very High,AS,37.0,1993,70.208,0.1656252817652312
SEN,Senegal,Low,SSA,169.0,1993,57.348,-1.182959821867209
SRB,Serbia,Very High,ECA,62.0,1993,71.876,0.3405428519719901
SVK,Slovakia,Very High,Developed,44.0,1993,71.88,0.34096231856720915
SVN,Slovenia,Very High,Developed,21.0,1993,73.584,0.5196550881309485
ZAF,South Africa,High,SSA,106.0,1993,62.618,-0.6303125826648013
ESP,Spain,Very High,Developed,28.0,1993,77.728,0.9542224807789128
SWE,Sweden,Very High,Developed,5.0,1993,78.136,0.9970080734913574
CHE,Switzerland,Very High,Developed,2.0,1993,78.234,1.0072850050742483
TGO,Togo,Medium,SSA,161.0,1993,53.852,-1.5495736260895274
TTO,Trinidad and Tobago,Very High,LAC,72.0,1993,67.825,-0.08427194233710933
TUN,Tunisia,High,AS,105.0,1993,69.992,0.14297408562334948
TUR,Turkey,Very High,ECA,51.0,1993,69.018,0.04083396968726846
UKR,Ukraine,High,ECA,87.0,1993,68.287,-0.03582355058919394
USA,United States,Very High,Developed,17.0,1993,75.568,0.7277105193600897
URY,Uruguay,Very High,LAC,48.0,1993,73.147,0.473828362603159
DZA,Algeria,High,AS,96.0,1994,67.284,-0.1410047993406199
AGO,Angola,Medium,SSA,148.0,1994,43.567,-2.628127109049064
ARG,Argentina,Very High,LAC,47.0,1994,72.732,0.43030870334907884
AUS,Australia,Very High,Developed,7.0,1994,77.852,0.9672259452307352
AUT,Austria,Very High,Developed,22.0,1994,76.541,0.8297457686473652
BEL,Belgium,Very High,Developed,10.0,1994,76.716,0.8480974321882417
BOL,Bolivia,High,LAC,108.0,1994,59.282,-0.9801477230783182
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1994,66.603,-0.21241898717683355
BRA,Brazil,High,LAC,84.0,1994,67.293,-0.14006099950137477
BGR,Bulgaria,Very High,Developed,55.0,1994,70.861,0.23410320343490396
CMR,Cameroon,Medium,SSA,155.0,1994,53.537,-1.5826066204631057
CAN,Canada,Very High,Developed,16.0,1994,77.901,0.97236441102218
CHL,Chile,Very High,LAC,45.0,1994,74.973,0.6653148633211082
CHN,China,High,EAP,78.0,1994,69.835,0.12651002176096166
COL,Colombia,High,LAC,83.0,1994,69.422,0.08320009580449249
CRI,Costa Rica,Very High,LAC,62.0,1994,76.329,0.8075140391007025
HRV,Croatia,Very High,Developed,41.0,1994,72.614,0.41793443879008807
CZE,Czech Republic,Very High,Developed,29.0,1994,73.082,0.46701203043083206
CIV,Ivory Coast,Medium,SSA,157.0,1994,52.005,-1.7432623264323819
DNK,Denmark,Very High,Developed,4.0,1994,75.441,0.7143924549618538
ECU,Ecuador,High,LAC,88.0,1994,70.876,0.23567620316697915
EGY,Egypt,High,AS,100.0,1994,64.663,-0.4158602858585545
FRA,France,Very High,Developed,26.0,1994,77.768,0.9584171467311139
DEU,Germany,Very High,Developed,5.0,1994,76.38,0.8128622381897582
GHA,Ghana,Medium,SSA,143.0,1994,56.234,-1.2997812686359909
GRC,Greece,Very High,Developed,34.0,1994,77.858,0.9678551451235653
HND,Honduras,Medium,LAC,139.0,1994,66.523,-0.22080831908123424
ISL,Iceland,Very High,Developed,1.0,1994,79.022,1.089919924332598
IRN,Iran,High,SA,75.0,1994,67.49,-0.11940226968678883
IRL,Republic of Ireland,Very High,Developed,11.0,1994,75.796,0.7516201152876331
ITA,Italy,Very High,Developed,29.0,1994,77.873,0.9694281448556406
JAM,Jamaica,High,LAC,117.0,1994,71.624,0.3141164564731263
JPN,Japan,Very High,Developed,23.0,1994,79.837,1.175386243108682
PRK,North Korea,Other Countries or Territories,EAP,,1994,70.472,0.19331007704975364
KOR,South Korea,Very High,Developed,20.0,1994,72.889,0.4467727672114652
MEX,Mexico,High,LAC,81.0,1994,70.302,0.1754827467529031
MAR,Morocco,High,AS,120.0,1994,64.346,-0.4491030135297422
NLD,Netherlands,Very High,Developed,8.0,1994,77.518,0.9322004845298613
NZL,New Zealand,Very High,Developed,17.0,1994,76.918,0.8692804952468552
NGA,Nigeria,Medium,SSA,164.0,1994,45.748,-2.399412948005336
NOR,Norway,Very High,Developed,2.0,1994,77.773,0.9589414799751386
PAN,Panama,Very High,LAC,59.0,1994,71.943,0.3475689174419251
PRY,Paraguay,High,LAC,99.0,1994,68.504,-0.013067487798506706
PER,Peru,High,LAC,79.0,1994,66.544,-0.21860611945632893
POL,Poland,Very High,Developed,35.0,1994,71.683,0.3203035887526232
PRT,Portugal,Very High,Developed,40.0,1994,75.73,0.7446989164665021
QAT,Qatar,Very High,AS,43.0,1994,74.245,0.5889719429910609
ROU,Romania,Very High,Developed,55.0,1994,69.326,0.07313289751921107
RUS,Russia,Very High,Developed,64.0,1994,63.822,-0.5040531375035681
SAU,Saudi Arabia,Very High,AS,37.0,1994,70.587,0.20536974166233085
SEN,Senegal,Low,SSA,169.0,1994,57.479,-1.1692222908737526
SRB,Serbia,Very High,ECA,62.0,1994,72.304,0.3854257776605345
SVK,Slovakia,Very High,Developed,44.0,1994,72.329,0.3880474438806588
SVN,Slovenia,Very High,Developed,21.0,1994,73.906,0.5534221490461624
ZAF,South Africa,High,SSA,106.0,1994,62.069,-0.6878843728587521
ESP,Spain,Very High,Developed,28.0,1994,78.114,0.9947010072176481
SWE,Sweden,Very High,Developed,5.0,1994,78.747,1.0610815959112196
CHE,Switzerland,Very High,Developed,2.0,1994,78.495,1.0346552004123573
TGO,Togo,Medium,SSA,161.0,1994,53.707,-1.5647792901662536
TTO,Trinidad and Tobago,Very High,LAC,72.0,1994,67.837,-0.08301354255144915
TUN,Tunisia,High,AS,105.0,1994,70.363,0.18187961233000802
TUR,Turkey,Very High,ECA,51.0,1994,69.402,0.08110276282839268
UKR,Ukraine,High,ECA,87.0,1994,67.534,-0.11478813713936717
USA,United States,Very High,Developed,17.0,1994,75.738,0.7455378496569417
URY,Uruguay,Very High,LAC,48.0,1994,73.162,0.4754013623352343
DZA,Algeria,High,AS,96.0,1995,67.691,-0.09832407327698083
AGO,Angola,Medium,SSA,148.0,1995,46.139,-2.358410088322576
ARG,Argentina,Very High,LAC,47.0,1995,72.864,0.4441511009913408
AUS,Australia,Very High,Developed,7.0,1995,78.257,1.0096969379967646
AUT,Austria,Very High,Developed,22.0,1995,76.775,0.8542845644677386
BEL,Belgium,Very High,Developed,10.0,1995,76.84,0.8611008966400641
BOL,Bolivia,High,LAC,108.0,1995,59.787,-0.9271900654317874
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1995,70.188,0.1635279487891314
BRA,Brazil,High,LAC,84.0,1995,67.701,-0.09727540678893168
BGR,Bulgaria,Very High,Developed,55.0,1995,70.962,0.24469473496420996
CMR,Cameroon,Medium,SSA,155.0,1995,53.347,-1.6025312837360575
CAN,Canada,Very High,Developed,16.0,1995,78.021,0.9849484088787818
CHL,Chile,Very High,LAC,45.0,1995,75.298,0.6993965241827371
CHN,China,High,EAP,78.0,1995,70.363,0.18187961233000802
COL,Colombia,High,LAC,83.0,1995,69.81,0.12388835554083727
CRI,Costa Rica,Very High,LAC,62.0,1995,76.44,0.8191542371180591
HRV,Croatia,Very High,Developed,41.0,1995,72.561,0.41237650640342277
CZE,Czech Republic,Very High,Developed,29.0,1995,73.177,0.4769743620673095
CIV,Ivory Coast,Medium,SSA,157.0,1995,51.713,-1.7738833878834452
DNK,Denmark,Very High,Developed,4.0,1995,75.287,0.6982429910458824
ECU,Ecuador,High,LAC,88.0,1995,71.349,0.28527812805174924
EGY,Egypt,High,AS,100.0,1995,65.214,-0.35807876236699326
FRA,France,Very High,Developed,26.0,1995,77.871,0.9692184115580295
DEU,Germany,Very High,Developed,5.0,1995,76.552,0.8308993017842213
GHA,Ghana,Medium,SSA,143.0,1995,56.662,-1.2548983429474465
GRC,Greece,Very High,Developed,34.0,1995,77.893,0.9715254778317403
HND,Honduras,Medium,LAC,139.0,1995,66.919,-0.17928112615444983
ISL,Iceland,Very High,Developed,1.0,1995,77.543,0.9348221507499871
IRN,Iran,High,SA,75.0,1995,67.904,-0.07598747708151414
IRL,Republic of Ireland,Very High,Developed,11.0,1995,75.474,0.7178530543724192
ITA,Italy,Very High,Developed,29.0,1995,78.125,0.9958545403545027
JAM,Jamaica,High,LAC,117.0,1995,71.488,0.2998545922356453
JPN,Japan,Very High,Developed,23.0,1995,79.684,1.1593416458415144
PRK,North Korea,Other Countries or Territories,EAP,,1995,60.766,-0.8245256162516819
KOR,South Korea,Very High,Developed,20.0,1995,73.375,0.4977379585307009
MEX,Mexico,High,LAC,81.0,1995,70.703,0.21753427292371208
MAR,Morocco,High,AS,120.0,1995,64.725,-0.40935855363264406
NLD,Netherlands,Very High,Developed,8.0,1995,77.551,0.9356610839404267
NZL,New Zealand,Very High,Developed,17.0,1995,76.785,0.8553332309557878
NGA,Nigeria,Medium,SSA,164.0,1995,45.87,-2.3866192168511247
NOR,Norway,Very High,Developed,2.0,1995,77.797,0.9614582795464589
PAN,Panama,Very High,LAC,59.0,1995,71.994,0.35291711653098085
PRY,Paraguay,High,LAC,99.0,1995,68.778,0.01566597397406638
PER,Peru,High,LAC,79.0,1995,67.22,-0.14771626486414136
POL,Poland,Very High,Developed,35.0,1995,71.959,0.34924678382280583
PRT,Portugal,Very High,Developed,40.0,1995,75.55,0.7258229196815994
QAT,Qatar,Very High,AS,43.0,1995,74.404,0.6056457401510568
ROU,Romania,Very High,Developed,55.0,1995,69.323,0.07281829757279601
RUS,Russia,Very High,Developed,64.0,1995,63.995,-0.4859112072603017
SAU,Saudi Arabia,Very High,AS,37.0,1995,70.944,0.24280713528571968
